College,Courses
The University of Law,"Accelerated two-year LL.B (Hons) Law;;;LL.B (Hons) Law;;;LLB (Hons) Law with Business;;;LLB (Hons) Law with Criminal Justice;;;LLB (Hons) Law with Criminology;;;LLB (Hons) Law with Government and Politics;;;LLB (Hons) Law with International Business;;;LLB (Hons) Law with Legal Innovation and Technology;;;LLB (Hons) Senior Status;;;Online LLB (Hons) Law;;;Bar Professional Training Course (BPTC);;;Dual Degree / LLB in Civil and English Law;;;Graduate Diploma in Law (GDL);;;Legal Practice Course (LPC);;;Online Master of Laws (LLM) in Legal Practice;;;Online Master of Science degree (MSc) in Law, Governance, Risk and Compliance"
GISMA Business School,"Business (Human Resource Management) BA (Hons);;;Business (Marketing) BA (Hons);;;Business (Tourism) BA (Hons);;;Business BA (Hons);;;Accounting and Finance BSc (Hons);;;Healthcare Management BA (Hons);;;Master in International Business;;;MSc Engineering Management;;;MSc Innovation, Strategy, and Entrepreneurship;;;MSc International Business Management;;;MSc Project Management;;;MSc Strategic Business Management;;;MSc Business Intelligence and Analytics;;;MSc Digital Sales and Management;;;MSc Project Management;;;MSc Corporate Financial Management;;;MSc Financial Compliance;;;MSc Financial Risk Management;;;MSc Global Accounting;;;MSc Leadership and Human Resource Management;;;MSc Data Management and Cyber Security;;;MSc IT Security Management;;;MSc Data Analytics and Information Systems Management;;;MSc Data Analytics and Marketing;;;MSc Digital Marketing;;;MSc International Marketing;;;MSc Marketing Management;;;MBA"
University Canada West,Associate of Arts;;;Bachelor of Arts in Business Communication;;;Bachelor of Commerce;;;University Access Program;;;Master of Business Administration;;;MBA Foundation
University of Applied Sciences ...,Communication Design;;;Game Design;;;Photography;;;Business and Management Studies;;;Digital Business & Data Science;;;Sport & Event Management Dual;;;Innovation Design Management;;;Media Spaces;;;Photography;;;Visual & Experience Design;;;Corporate Management;;;Entrepreneurial Economics;;;Finance & Management;;;International Sport & Event Management
Berlin School of Business and ...,"BA in Economics and Business Administration;;;BA in Economics and Business Administration with Foundation Diploma;;;Global MBA;;;MBA Maritime and Shipping Management;;;MA in Finance and Investment;;;MA in International Tourism, Hospitality and Event Management;;;MA in Strategic Marketing"
EADA - Business School Barcelona,International Master in Accounting & Financial Management;;;International Master in Finance;;;International Master in Marketing;;;International Master in Management;;;International Master in Sustainable Business & Innovation;;;International Master in Tourism & Hospitality Management;;;International MBA
Ecole Polytechnique,"Bachelor of science;;;Artificial Intelligence and Advanced Visual Computing;;;Cybersecurity: Threats and Defenses;;;Data Science for Business;;;Economics, Data Analytics and Corporate Finance;;;Ecotechnologies for Sustainability and Environment Management;;;Energy Environment: Science Technology and Management (STEEM);;;Internet of Things: Innovation and Management;;;Smart Cities and Urban Policy"
Montpellier Business School,"Bachelor of International Business Administration;;;Executive MBA;;;Master Grande Ecole;;;MSc in Global Business;;;MSc in International Business;;;MSc in Lean Operations Management;;;Msc in Management through Design;;;MSc in Supply Chain Management;;;Specialized MSc in Data Science, Big Data and Artificial Intelligence;;;Msc in Energy and Environmental Finance;;;MSc in Finance;;;Specialized Msc in Innovative Finance: Fintech, Blockchains & Cryptocurrencies;;;Specialized Msc in Responsible Finance: Financial inclusion, Microfinance and Social Innovation;;;MSc in Digital Management;;;MSc in Marketing;;;Specialized Msc in Food and Wine Management;;;Specialized Msc in French Excellence, Luxury and Fashion;;;Specialized Msc in Tourism and Hospitality Management"
Peter the Great St. Petersburg ...,"INTERNATIONAL PROGRAMS (in RUSSIAN);;;PROGRAMS in RUSSIAN (IAMT);;;PROGRAMS in APPLIED MATHEMATICS and MECHANICS (in RUSSIAN);;;PROGRAMS in RUSSIAN (IAMM);;;PROGRAMS in ENGINEERING (in Russian);;;PROGRAMS in RUSSIAN (ICE);;;PROGRAMS in IT, COMPUTING and CONTROL (in RUSSIAN);;;Programs in Russian (ICST);;;PROGRAMS in POWER ENGINEETING and ENERGY TECHNOLOGIES ( in Russian);;;PROGRAMS in RUSSIAN (IETS);;;PROGRAMS in HUMANITIES (in RUSSIAN);;;PROGRAMS in RUSSIAN (IH);;;INTERNATIONAL BUSINESS (in English);;;INTERNATIONAL MANAGEMENT IN TOURISM (in English);;;PROGRAMS in ECONOMICS and MANAGEMENT (in Russian);;;PROGRAMS in RUSSIAN (IIMET);;;PROGRAMS in METALLURGY, MACHANICAL ENGINEERING and MACHINERY (in RUSSIAN);;;PROGRAMS in RUSSIAN (IMMET);;;PROGRAMS in PHYSICS, NANOTECHNOLOGY and TELECOMMUNICATIONS (in Russian);;;PROGRAMS in RUSSIAN (IPNT);;;PROGRAMS in RUSSIAN (IAMT);;;TECHNOLOGY LEADERSHIP AND ENTREPRENEURSHIP (in English) (DOUBLE DEGREE);;;CONTINUUM MECHANICS: FUNDAMENTALS AND APPLICATIONS (in English);;;PROGRAMS in RUSSIAN (IAMM);;;CIVIL ENGINEERING (in English);;;ENERGY EFFICIENT AND SUSTAINABLE BUILDING (in English);;;PROGRAMS in RUSSIAN (ICE);;;INTELLIGENT SYSTEMS (in English) (DOUBLE DEGREE);;;Programs in Russian (ICST);;;ELECTRICAL POWER ENGINEERING (in English) (DOUBLE DEGREE);;;NUCLEAR POWER ENGINEERING (in English);;;POWER PLANT ENGINEERING (in English) (DOUBLE DEGREE);;;PROGRAMS in RUSSIAN (IETS);;;TECHNOLOGY ENGINEERING (in English) (TRIPLE DEGREE);;;PROGRAMS in RUSSIAN (IH);;;REGION STUDIES: RUSSIAN FEDERATION (in English);;;INNOVATIVE ENTREPRENEURSHIP (in English) (DOUBLE DEGREE);;;INTERNATIONAL BUSINESS DEVELOPMENT (in English) (DOUBLE DEGREE);;;INTERNATIONAL MANAGEMENT (in English);;;PROGRAMS in RUSSIAN (IIMET);;;TECHNOLOGIES FOR BUSINESS ENGINEERING (in English) (DOUBLE DEGREE);;;MECHANICS AND MATHEMATICAL MODELING (in English);;;PROGRAMS in RUSSIAN (IMMET);;;MICROELECTRONICS OF TELECOMMUNICATION SYSTEMS (in English);;;PHOTONICS AND NANOELECTRONICS (in English) DOUBLE DEGREE;;;PROGRAMS in RUSSIAN (IPNT)"
Erasmus School of Economics,"International Bachelor Econometrics and Operations Research;;;Double degree BSc² in Econometrics and Economics;;;Double Degree Econometrics and Philosophy;;;Double Degree Economics and Philosophy;;;International Bachelor Econometrics and Operations Research;;;International Bachelor Economics & Business Economics;;;Accounting and Auditing;;;Accounting and Control;;;Accounting and Finance;;;Behavioural Economics;;;Business Analytics and Quantitative Marketing;;;Data Science and Marketing Analytics;;;Econometrics;;;Economics of Markets and Organisations;;;Financial Economics;;;Health Economics;;;Industrial Dynamics and Strategy;;;International Economics;;;Marketing;;;Operations Research and Quantitative Logistics;;;Policy Economics;;;Quantitative Finance;;;Urban, Port & Transport Economics"
